"code","iso","country","LUE.raw.1990","LUE.raw.1991","LUE.raw.1992","LUE.raw.1993","LUE.raw.1994","LUE.raw.1995","LUE.raw.1996","LUE.raw.1997","LUE.raw.1998","LUE.raw.1999","LUE.raw.2000","LUE.raw.2001","LUE.raw.2002","LUE.raw.2003","LUE.raw.2004","LUE.raw.2005","LUE.raw.2006","LUE.raw.2007","LUE.raw.2008","LUE.raw.2009","LUE.raw.2010","LUE.raw.2011","LUE.raw.2012","LUE.raw.2013","LUE.raw.2014","LUE.raw.2015","LUE.raw.2016","LUE.raw.2017","LUE.raw.2018","LUE.raw.2019","LUE.raw.2020","LUE.raw.2021","LUE.raw.2022"
4,"AFG","Afghanistan",1707.91253333333,1603.24426666667,1016.07605333333,169.911893333333,257.970026666667,587.497973333333,1382.43941333333,2811.14293333333,1441.95498666667,1249.10645333333,1108.31114666667,1539.75936,4415.18106666667,3305.78293333333,2675.67264,2309.9688,1998.44330666667,1801.25904,1595.8552,1439.63445333333,1206.15216,1076.56869333333,1016.5768,952.029333333333,902.418773333333,954.752906666667,1191.11754666667,1176.46154666667,1240.61818666667,1330.31290666667,1330.37397333333,1245.25925333333,1261.73504
8,"ALB","Albania",316.557386666667,123.415733333333,181.0016,-120.3624,-683.250506666667,-648.002826666667,-621.536533333333,-568.54288,-546.81536,-738.723466666667,-847.727466666667,-798.34896,-920.897546666667,-696.367626666667,-1038.87834666667,250.568746666667,-251.93664,681.748266666667,1061.19210666667,350.05856,134.06576,136.00768,270.671893333333,107.184213333333,87.3619733333333,248.370346666667,-5.78911999999999,79.06912,-66.5504533333333,-138.6824,-169.227946666667,-182.454986666667,-200.555146666667
12,"DZA","Algeria",5632.22752,10620.25056,6564.50789333333,5698.50928,4476.47978666667,5268.08698666667,4132.83322666667,3422.21264,2990.49573333333,2260.77349333333,2375.28570666667,2537.52762666667,2838.14661333333,3136.78704,2241.89168,1710.18421333333,1396.60688,1022.21936,831.300533333333,562.191946666667,309.522506666667,85.7986666666667,-70.7274133333333,211.327306666666,-248.16272,-147.195093333333,82.3911466666666,-14.4728000000001,234.45936,251.667946666667,844.51536,911.945173333334,965.586133333333
20,"AND","Andorra",5.15402666666667,3.52965333333333,15.0468266666667,20.7260266666667,21.8862933333333,20.0298666666667,14.6071466666667,13.9109866666667,12.16448,10.8332266666667,10.58896,9.68517333333333,8.98901333333333,8.21957333333333,5.58149333333333,6.19216,2.98005333333333,1.61216,1.07477333333333,-0.781653333333333,-0.598453333333334,-2.05184,-3.13882666666667,-2.80906666666667,-3.55408,-3.76170666666667,-3.70064,-4.26245333333333,-4.58,-4.71434666666667,-5.04410666666667,-4.32352,-3.4808
24,"AGO","Angola",19270.9667733333,22244.29056,22094.0787733333,23944.53312,27121.8317866667,28183.6834133333,28488.0274666667,30947.1088533333,30647.30816,35087.5387733333,42827.0914666667,56026.5049066667,69370.5364266667,77615.6600533333,80113.2378666667,82365.10784,85117.87104,103574.452746667,128140.021653333,137431.595893333,147382.922186667,138285.417813333,131777.51872,125038.262453333,117552.612746667,118249.639893333,114481.044906667,112078.633386667,105132.50768,102071.137973333,100807.88848,100573.624533333,98154.60288
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",-14.5338666666667,-14.9979733333333,-14.7537066666667,-14.4728,-14.6315733333333,-14.2041066666667,-13.8377066666667,-13.3491733333333,-12.93392,-12.6408,-11.5293866666667,-11.3461866666667,-9.80730666666667,-9.5264,-10.0882133333333,-9.86837333333333,-7.98752,-4.58,-1.70986666666667,-6.19216,-6.9616,-7.30357333333333,-6.19216,1.31904,-3.83498666666667,-5.65477333333333,-5.19066666666667,1.72208,-3.81056,-5.11738666666667,-5.47157333333333,-5.58149333333333,-5.50821333333333
32,"ARG","Argentina",44829.8582933333,69670.85008,66483.5853333333,64863.1446933333,65880.7840533333,67584.45856,68340.59824,70066.2445333333,72569.14736,74539.8053333333,78401.7468266667,90006.2088533333,120568.341226667,173916.107946667,205666.47552,222791.522986667,228443.902506667,177865.203786667,152784.708533333,238196.847626667,204376.85744,192265.39552,159362.919786667,125258.297866667,108836.99488,96218.6429866667,80148.3267733333,60793.2834133333,42047.6853866667,30904.9850666667,20369.16528,15700.5086933333,18204.7672
51,"ARM","Armenia",627.508853333333,688.75872,896.202186666667,1130.20965333333,1588.01424,2089.66469333333,1690.86272,1505.18341333333,1217.46170666667,1122.77173333333,1063.18288,1639.73770666667,1960.45984,2047.39434666667,2818.33658666667,4235.90154666667,2970.92997333333,2379.15733333333,2131.86176,1918.98336,1764.57018666667,1563.08682666667,1509.73898666667,1353.31061333333,1238.15109333333,1204.01482666667,1160.63306666667,1032.01445333333,980.461973333333,907.841493333333,850.365546666667,815.86288,786.905066666667
533,"ABW","Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,"AUS","Australia",28253.3849066667,20022.88064,46169.11136,46748.13328,48255.4784533333,106874.99616,108682.581706667,85482.7932266667,109168.58688,92688.1591466667,120740.830133333,82697.7013333333,59930.7900266667,116218.26944,103786.512853333,61500.7773866667,45300.2914666667,63433.3419733333,120957.83664,69532.5218666667,220672.79056,126751.46336,76540.55696,71730.42112,44463.0918933333,23340.3273066667,52414.8634666667,30432.2557866667,8781.06912,-2439.10037333333,32.1699200000003,-2777.01888,-7641.24757333333
40,"AUT","Austria",-7921.69013333333,-7571.31402666667,-8188.31941333333,-7999.13488,-8237.84448,-7921.32373333333,-7585.04181333333,-7246.08517333333,-6439.41893333333,-7002.24597333333,-7816.88752,-7844.2576,-8047.78058666667,-7130.66917333333,-6909.68112,-6972.28666666667,-6788.95232,-6126.08586666667,-5838.65728,-5982.22501333333,-6213.02037333333,-6393.24032,-6264.36522666667,-6141.36474666667,-6427.05904,-6488.85850666667,-6563.59189333333,-6455.13749333333,-6270.30090666667,-6039.44448,-5995.28106666667,-5718.08725333333,-5856.03685333333
31,"AZE","Azerbaijan",1886.19056,2125.99936,2148.30090666667,2287.11765333333,2561.17264,2821.89066666667,3324.43269333333,3511.69973333333,2845.59674666667,2932.97093333333,2558.7544,2307.92917333333,2203.38304,1936.26522666667,1955.94090666667,1954.43866666667,1982.78581333333,1940.39333333333,1993.68010666667,2009.83834666667,1984.44682666667,2038.91829333333,2475.56938666667,2113.00437333333,2273.59749333333,3214.96458666667,4772.56762666667,3468.20805333333,3828.29376,4005.668,4053.4832,4105.75626666667,4138.46357333333
44,"BHS","Bahamas",-29.4463466666667,-23.52288,-27.58992,-20.0298666666667,-2.50373333333333,12.2255466666667,12.01792,13.59344,-12.7018666666667,28.4448533333333,-18.3444266666667,-33.81872,-40.56048,-50.3922133333333,-57.2194666666667,-52.5295466666667,-53.3722666666667,-27.26016,92.3205866666667,40.34064,-6.13109333333333,-16.4635733333333,-20.8848,-24.25568,-31.0462933333333,-33.1347733333333,-29.8127466666667,-27.6387733333333,-29.4952,-26.5151466666667,-23.41296,-30.08144,-25.5991466666667
48,"BHR","Bahrain",3.70064,3.88384,3.83498666666667,3.89605333333333,4.0304,2.05184,1.63658666666667,3.68842666666667,2.03962666666667,1.63658666666667,1.41674666666667,0.928213333333333,0.781653333333333,0.40304,0.280906666666667,0.14656,-0.0977066666666667,-0.268693333333333,-0.427466666666667,-0.47632,-0.317546666666667,0.268693333333333,0.0854933333333333,-0.537386666666667,-0.610666666666667,-0.683946666666667,-0.84272,-1.01370666666667,-1.12362666666667,-1.13584,-1.12362666666667,-1.11141333333333,-1.08698666666667
50,"BGD","Bangladesh",10496.9936,1956.74698666667,783.998293333333,3636.30016,1723.66773333333,2585.26954666667,6625.22037333333,7936.06522666667,7543.67525333333,5593.32805333333,5247.47088,3877.51349333333,3599.18384,3333.36064,3015.59413333333,1564.35701333333,1126.71664,3158.99088,3001.37781333333,1696.37093333333,1564.65013333333,1992.73968,4236.39008,4477.65226666667,5086.64570666667,7770.15930666667,5180.11434666667,7829.98021333333,7278.60928,8598.93168,10702.43408,9907.52928,9236.06464
52,"BRB","Barbados",4.99525333333333,6.17994666666667,5.77690666666667,6.47306666666667,5.10517333333333,4.01818666666667,3.2976,3.95712,-8.244,-8.63482666666667,-0.0122133333333331,-14.69264,-9.22106666666667,-21.8008,-12.12784,-10.4668266666667,-5.42272,-9.5264,-3.65178666666667,-22.3748266666667,-29.0433066666667,-38.2765866666667,-48.8533333333333,-59.50336,-70.75184,-89.2061866666667,-74.63568,-83.5514133333333,-94.8365333333333,-89.1695466666667,-91.3679466666667,-101.578293333333,-100.967626666667
112,"BLR","Belarus",10016.1913066667,6466.05621333333,6720.94848,7800.02090666667,10877.8908266667,7977.83482666667,7199.77221333333,7182.20944,8766.02229333333,10825.5933333333,5815.34202666667,1603.29312,1227.48885333333,1272.88581333333,2032.09104,1984.17813333333,818.036853333333,1549.59109333333,1853.14128,2520.34346666667,3198.89184,2053.37888,3238.47525333333,6222.388,5220.63818666667,5298.98672,5565.10304,5254.24928,5143.32778666667,5185.78133333333,4566.84624,4567.66453333333,4477.89653333333
56,"BEL","Belgium",-1206.7384,919.81056,435.42976,2841.00453333333,1107.27301333333,837.55376,1332.73114666667,1055.46405333333,829.395253333333,2011.74362666667,1031.45264,620.75488,655.831573333333,1419.17712,2655.17866666667,1246.48058666667,1017.43173333333,785.989066666667,579.779146666667,791.253013333333,525.918346666667,376.317226666667,1103.68229333333,1197.12650666667,2344.72794666667,3122.80277333333,2024.59205333333,2486.94,2509.41253333333,2642.06154666667,2643.38058666667,2805.8912,2751.61514666667
84,"BLZ","Belize",5885.05573333333,6496.72389333333,7524.63466666667,6425.27589333333,5348.38965333333,4996.09605333333,4580.64730666667,4664.74832,4884.89365333333,4879.11674666667,4594.21632,5061.93813333333,6379.94,4918.78565333333,4103.05712,3695.18064,3967.86773333333,3844.79397333333,3898.93568,4696.41749333333,4617.06746666667,4671.94197333333,4517.77306666667,4809.20762666667,6066.13061333333,7554.85045333333,6321.1328,6527.92896,7570.34917333333,6621.27546666667,6371.76928,6795.48645333333,5763.58192
204,"BEN","Benin",11004.6163733333,11354.9314133333,12730.1405333333,16343.9803733333,21190.0234133333,28447.4181333333,32138.3851733333,33674.9324266667,30326.8302933333,29567.7960533333,27356.8651733333,27208.4121066667,26649.9452266667,22326.9748266667,21032.6301866667,16561.57312,16127.8532266667,23390.7317333333,21898.04256,19028.17792,18287.2194133333,20764.9994133333,25079.27392,19542.8477866667,17642.9538666667,16036.3875733333,14380.9313066667,13797.41488,12834.6500266667,12287.2850666667,12104.35376,11854.10256,11786.9170133333
60,"BMU","Bermuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,"BTN","Bhutan",12061.6925866667,7550.588,5883.77333333333,5684.73264,10767.79984,6311.32549333333,5363.75402666667,4828.08944,4687.00101333333,3618.81066666667,4675.87466666667,3291.42005333333,4848.68112,11102.94592,6997.49498666667,4572.95290666667,3816.88650666667,4807.15578666667,5612.03888,4028.39701333333,5111.81738666667,3352.04704,2776.12730666667,2735.176,1475.60272,1150.70362666667,1215.40986666667,1223.66608,686.145066666667,791.008746666667,652.15536,780.334293333333,631.954506666667
68,"BOL","Bolivia",46953.46384,50278.1652266667,64287.8356266667,62833.4718933333,114606.561333333,96666.6646933333,95637.8257066667,100472.107306667,124280.24192,107684.26384,89131.5632,86174.2877333333,88476.6476266667,140679.890666667,112254.749653333,92211.2162666667,93581.0759466667,84831.3340266667,90809.9194666667,76491.45936,70109.9194133333,68166.6437333333,66047.3617066667,62528.24848,58811.81664,60330.83776,55068.4788266667,59626.1650666667,54395.70736,50870.82944,48431.15504,41073.4644266667,44172.9030933333
70,"BIH","Bosnia and Herzegovina",284.98592,-2747.92672,-3036.45450666667,-2857.59024,-2276.61418666667,-1734.28112,-1769.46773333333,13.8987733333333,-466.842453333333,-148.672906666667,-599.967786666667,-942.258666666667,467.062293333333,154.73072,-507.512853333334,-465.07152,-911.798613333333,-537.789706666667,-858.939306666667,-514.669866666667,-741.935573333333,-614.843626666667,28.0906666666666,-211.315093333333,297.870986666667,1021.44992,1061.58293333333,1017.90805333333,924.549333333333,969.103573333333,1055.53733333333,1182.33616,1239.67776
72,"BWA","Botswana",3723.39344,4225.95989333333,7124.91669333333,8748.86256,8248.37237333333,8605.91770666667,8358.14581333333,7811.34266666667,8432.67157333333,10629.19072,8346.29888,8594.85242666667,7608.13722666667,7999.63562666667,8022.42570666667,7480.54453333333,7675.98229333333,9503.96410666667,9641.27861333333,8991.95674666667,9837.93770666667,8679.39312,8955.12133333333,10831.66336,8582.62688,7961.27354666667,7980.30192,7769.47536,7452.63706666667,7382.69130666667,7363.65072,7452.62485333333,7401.85402666667
76,"BRA","Brazil",1104885.50208,1200123.80522667,1274922.49658667,1322448.75354667,1535221.37386667,1576379.48890667,1535774.68672,1601493.58304,1730006.02586667,1750938.28688,1691683.24837333,1665294.90053333,1755322.14074667,2207545.42949333,1972307.65269333,1797311.55632,1655256.34661333,1583952.18304,1512709.67237333,1424952.67098667,1298317.60069333,1219233.22624,1214839.16202667,1222389.26149333,1204103.04357333,1214318.49541333,1159581.79178667,1052930.31184,919853.233386667,1072463.70650667,1004540.87754667,970086.013866667,970692.992106667
92,"VGB","British Virgin Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,"BRN","Brunei Darussalam",1070.90170666667,1064.45306666667,1225.74234666667,1264.54410666667,1308.79301333333,1056.02586666667,1204.94304,1324.19402666667,2020.97690666667,1099.96944,1044.28885333333,1102.59530666667,1179.33168,1333.01205333333,1061.96154666667,1056.27013333333,1095.9024,1316.1088,1528.804,1778.82314666667,1375.06256,1572.02698666667,1476.56757333333,834.76912,1840.59818666667,1087.86602666667,995.447733333333,1347.37493333333,976.077386666667,1037.18069333333,1035.17770666667,906.80336,894.41904
100,"BGR","Bulgaria",181.868746666666,1814.25402666667,735.3648,839.703306666667,1708.85296,3072.05637333333,5062.15797333333,-2768.26192,-2499.87392,-4019.51792,-5509.38581333333,-6734.12666666667,-6441.89824,-5937.52421333333,-7627.45872,-7383.30197333333,-8114.72186666667,-8200.33733333333,-8424.91610666667,-6718.04170666667,-5175.69312,-3689.29381333333,-3938.34810666667,-4994.80144,-3858.49733333333,-4150.5792,-4060.27381333333,-3738.25706666667,-4125.10218666667,-4566.76074666667,-4677.63338666667,-4427.93178666667,-4556.84352
854,"BFA","Burkina Faso",14279.2430933333,13050.3374933333,12104.5247466667,11130.5846933333,11429.5060266667,13599.2535466667,18735.5830933333,17891.0433066667,14207.5386133333,12962.6579733333,27376.27216,26306.1887466667,26411.6753066667,18100.9538666667,17765.56352,13395.43744,22417.2557866667,39515.3850666667,27909.5551466667,28305.9266666667,22663.9895466667,21583.7690666667,20621.2362666667,13913.8812266667,13114.8727466667,10780.8681066667,9905.41637333333,8544.42357333333,8209.96144,7887.40730666667,7723.76085333333,7628.89989333333,7742.32512
108,"BDI","Burundi",3044.34432,2763.25445333333,2302.10341333333,2155.75104,2687.9104,2777.1288,2786.54528,2761.54458666667,2882.49322666667,2523.34794666667,2725.11221333333,2937.08682666667,2669.11408,2558.92538666667,1803.29866666667,1315.27829333333,1035.21434666667,1828.5192,2312.03285333333,2531.46981333333,3972.28896,5231.95994666667,5614.18842666667,5065.04032,4279.75962666667,3653.96064,2695.07962666667,2050.77744,1705.81184,1463.10848,1347.28944,1226.92704,1220.46618666667
132,"CPV","Cabo Verde",21.76416,38.4842133333333,20.5794666666667,16.0238933333333,35.9072,26.8326933333333,66.94128,37.7880533333333,12.5919466666667,14.21632,58.00112,52.212,28.3349333333333,39.8765333333333,22.5336,37.1773866666667,25.7823466666667,64.6085333333333,33.23248,18.7352533333333,33.7332266666667,169.97296,101.8592,17.14752,2.45488,-8.17072,-1.55109333333333,-23.6450133333333,-30.7776,-35.2598933333333,-37.51936,-39.5712,-41.18336
116,"KHM","Cambodia",46598.0680533333,35383.1625066667,28757.5513066667,24289.9261866667,21935.4397866667,19033.6983466667,16752.43088,17718.66432,17638.38608,24577.6478933333,29736.8408,29394.8674666667,28651.4785066667,30747.3475733333,31582.65408,21956.0925333333,15295.25808,13236.3832,12694.4165333333,21528.1861866667,21196.0568,25614.40112,33393.5005866667,40088.7888533333,54445.72096,48374.2775466667,40482.8032,40278.09552,35247.3380266667,31959.1056533333,30756.6541333333,30018.1505066667,21607.0965333333
120,"CMR","Cameroon",23857.6718933333,25052.8320533333,23194.1581333333,22958.9659733333,24723.53616,27778.7503466667,29580.2902933333,30477.1031466667,35685.2470933333,33231.49072,30682.77568,28024.1650666667,28474.2141866667,31053.4992,27474.6017066667,26610.1908266667,28369.8024,29066.58528,40847.48112,54958.1191466667,45008.3439466667,38582.7016533333,35133.69296,31229.48112,27664.4701866667,27645.6005866667,28788.15792,29956.3998933333,26351.3658666667,25768.5456,25672.5365866667,25091.4261866667,24507.2990933333
124,"CAN","Canada",150953.368053333,143038.517386667,144186.155466667,142847.70848,143782.846773333,149082.8472,149975.483093333,156235.08512,152780.494933333,148522.682666667,166071.801493333,193944.105973333,174188.489706667,165517.780266667,157618.379466667,157062.098773333,131385.544,122174.809813333,105225.451146667,87678.0666133333,78981.6358933333,89777.5019733333,83059.5946133333,91087.7483733333,104938.9752,110503.504213333,91140.9496533333,106737.92592,91079.78528,88231.72144,79798.7811733333,74605.5863466667,73798.0651733333
136,"CYM","Cayman Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,"CAF","Central African Republic",9061.64602666667,9663.14048,9409.3352,9216.69429333333,9273.00997333333,9761.10362666667,10626.8579733333,10987.5909866667,11514.9382933333,10970.7365866667,10381.87072,10412.8803733333,10100.80528,10945.21072,9990.06698666667,9500.47109333333,8795.52970666667,8908.94272,13103.34336,9421.01114666667,8279.73621333333,8069.86229333333,7515.51130666667,7254.25589333333,6684.80922666667,6643.71136,7136.80026666667,8212.90485333333,7569.66522666667,7117.55205333333,7188.98784,6074.89978666667,6135.57562666667
148,"TCD","Chad",7095.53141333333,7066.10949333333,7638.76826666667,7810.20682666667,8424.80618666667,9345.09306666667,13684.1728533333,11661.44944,9914.47866666667,13318.6277866667,19581.7838933333,15286.0248,15669.6700266667,20354.3382933333,20195.7603733333,17050.0453866667,15550.52896,14675.63904,17695.0559466667,22916.1338133333,25138.5330133333,33413.7869333333,39634.4528533333,39082.2269866667,34296.21248,30050.55248,27793.8216,28809.07936,27795.0429333333,26626.2391466667,26508.7957333333,26767.1810133333,26638.1837866667
152,"CHL","Chile",3073.92501333333,2243.01530666667,2561.07493333333,6025.2648,4689.38261333333,4580.87936,4658.75157333333,8266.63130666667,5033.52992,5173.25045333333,9657.03381333334,11801.5363733333,9892.51909333333,13003.38944,10948.3373333333,12129.3178133333,11398.44752,13649.2305066667,14940.9004266667,14354.52608,14582.06048,12247.4573866667,13904.0250666667,12682.31312,13027.2176533333,12768.08736,11737.2820266667,12172.3087466667,10580.1175466667,8949.6864,7240.73573333333,5250.8784,4994.37397333333
156,"CHN","China",581769.272693333,407132.236106667,415879.303306667,410948.096693333,464809.14096,394035.5368,405871.57584,400842.247306667,357268.444853333,281506.170346667,160473.8568,106437.03824,62901.5245866667,68956.1380266667,127263.421866667,21195.0186666667,10230.5963733333,-22981.5728533333,-17592.73264,5972.80853333332,-39880.5759466667,-19563.45168,-87375.0416,-116684.684426667,44976.3083733333,45654.2582933333,-55560.3464,42510.90048,167383.550133333,170327.96496,202658.55136,227018.91184,254999.255466667
170,"COL","Colombia",32927.7206933333,47351.37424,49604.6365333333,61019.9384533333,72393.3242133333,121469.343253333,106274.368853333,137516.063306667,132449.53296,100446.80128,58059.81728,43985.8192533333,82867.5765866667,166473.058346667,87257.5126933333,45414.2296533333,61185.6367466667,57954.25744,43590.7423466667,32765.72304,30953.3010133333,133705.063626667,299744.25552,127218.36688,86832.8917333333,70131.48816,54781.2945066667,53066.6157866667,53229.3218133333,50286.4825066667,50935.7310933333,53390.5256,55797.11408
174,"COM","Comoros",33.2813333333333,52.46848,34.40496,154.91392,133.381813333333,126.81104,124.661493333333,177.5208,147.793546666667,108.4544,119.654026666667,70.6541333333333,50.5876266666667,38.0567466666667,14.8880533333333,12.5553066666667,10.91872,9.31877333333333,9.97829333333333,7.86538666666667,12.4087466666667,13.77664,26.1365333333333,14.2896,10.3202666666667,-3.2976,-10.03936,-3.41973333333333,-2.82128,-8.19514666666667,-13.52016,-16.74448,-18.6741866666667
184,"COK","Cook Islands",0.47632,-0.84272,-0.818293333333333,-2.1984,-4.51893333333333,-5.89904,-6.28986666666667,-6.60741333333333,-7.02266666666667,-7.40128,-7.59669333333333,-9.06229333333333,-12.6408,-15.31552,-17.9658133333333,-20.26192,-21.83744,-23.2786133333333,-24.62208,-25.6724266666667,-26.3930133333333,-26.30752,-25.6724266666667,-23.8648533333333,-20.4206933333333,-19.6878933333333,-20.0298666666667,-19.5901866666667,-18.9184533333333,-18.4054933333333,-18.0513066666667,-17.5749866666667,-17.0864533333333
188,"CRI","Costa Rica",3960.6008,3096.23877333333,2518.18170666667,3273.58858666667,5611.64805333333,2980.34645333333,2505.0768,1474.18597333333,1522.79504,1202.47594666667,3074.51125333333,3511.3944,4326.92752,1057.80901333333,-1272.77589333333,292.289493333333,263.95456,869.113013333333,3064.45968,3886.69792,712.709066666667,-423.81488,1604.12362666667,1247.16453333333,1584.43573333333,2445.84213333333,842.158186666667,1307.80373333333,1080.36704,888.30016,710.657226666667,555.816586666667,740.20128
384,"CIV","Cote d'Ivoire",124538.77376,134475.859306667,147654.387946667,148450.36752,144445.969706667,121196.094346667,121625.979253333,120026.85088,116190.838293333,110152.419733333,99674.3812266667,88049.69392,82180.84528,86914.0493333333,76129.27296,77697.6725866667,77315.0410666667,67266.5943466667,60868.2488533333,58006.46944,56221.99152,57239.30112,74499.9532266667,69109.8794666667,65604.0421333333,62114.7782933333,61452.27824,62257.1613333333,57536.5858666667,54681.7802666667,52961.25136,52517.17456,52569.75296
191,"HRV","Croatia",-509.613546666667,4404.64096,773.678026666667,504.264106666667,1900.01605333333,-2842.17701333333,-3402.97664,388.872533333333,632.381973333333,-7016.85312,-8299.41189333333,-8858.53829333333,-9162.61365333333,-9004.04794666667,-8184.48442666667,-8257.43466666667,-8080.46346666667,-4812.43194666667,-6085.09792,-5446.14517333333,-5230.07909333333,-4961.80101333333,1684.86597333333,-2025.10501333333,-2084.49845333333,-2157.30213333333,-3017.07194666667,-2691.36677333333,-3116.08544,-3129.49568,-3074.79216,-3012.36981333333,-3125.72176
192,"CUB","Cuba",22305.40608,23344.11344,16252.9299733333,13173.32576,11972.8650133333,7784.36341333333,14615.21968,7648.56336,7752.18128,5007.66208,13367.1269333333,6760.21434666667,2486.24384,1288.79978666667,4400.65941333333,1533.22522666667,-1788.71594666667,-2726.87093333333,-4566.4432,-6074.25248,-6165.21738666667,-10172.28992,-7242.04256,-8307.33834666667,-8393.52784,-9550.38698666667,-3563.72853333333,-5582.67802666667,-5521.33045333333,-5027.72858666667,-4460.60245333333,-4874.09706666667,-5279.07898666667
531,"CUW","Curacao",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
196,"CYP","Cyprus",-1533.95802666667,-1460.93450666667,-1434.2728,-1323.68106666667,-1435.61626666667,-1329.31141333333,-1306.216,-1100.26256,-1226.90261333333,-1024.38112,-1042.72554666667,-1090.52853333333,-305.260053333333,-325.375413333333,-63.6558933333333,-553.386133333333,-573.660266666667,-729.526826666667,-582.13632,-970.7768,-1058.96928,-1090.85829333333,-1185.08416,-1120.37792,-267.154453333333,-837.11408,-273.285546666667,-441.499786666667,-485.07696,-451.33152,-173.08736,-266.971253333333,-279.074666666667
