"code","iso","country","WHR.raw.2023"
4,"AFG","Afghanistan",1.85899996757507
8,"ALB","Albania",5.27729988098145
12,"DZA","Algeria",5.32910013198853
20,"AND","Andorra",NA
24,"AGO","Angola",NA
660,"AIA","Anguilla",NA
28,"ATG","Antigua and Barbuda",NA
32,"ARG","Argentina",6.02370023727417
51,"ARM","Armenia",5.34170007705688
533,"ABW","Aruba",NA
36,"AUS","Australia",7.09460020065308
40,"AUT","Austria",7.09730005264282
31,"AZE","Azerbaijan",NA
44,"BHS","Bahamas",NA
48,"BHR","Bahrain",6.17320013046265
50,"BGD","Bangladesh",4.28210020065308
52,"BRB","Barbados",NA
112,"BLR","Belarus",NA
56,"BEL","Belgium",6.85909986495972
84,"BLZ","Belize",NA
204,"BEN","Benin",4.37370014190674
60,"BMU","Bermuda",NA
64,"BTN","Bhutan",NA
68,"BOL","Bolivia",5.6842999458313
70,"BIH","Bosnia and Herzegovina",5.63250017166138
72,"BWA","Botswana",3.43530011177063
76,"BRA","Brazil",6.12459993362427
92,"VGB","British Virgin Islands",NA
96,"BRN","Brunei Darussalam",NA
100,"BGR","Bulgaria",5.46610021591187
854,"BFA","Burkina Faso",4.63759994506836
108,"BDI","Burundi",NA
132,"CPV","Cabo Verde",NA
116,"KHM","Cambodia",4.39349985122681
120,"CMR","Cameroon",4.97319984436035
124,"CAN","Canada",6.96070003509521
136,"CYM","Cayman Islands",NA
140,"CAF","Central African Republic",NA
148,"TCD","Chad",4.39659976959229
152,"CHL","Chile",6.33379983901978
156,"CHN","China",5.81790018081665
170,"COL","Colombia",5.63040018081665
174,"COM","Comoros",3.54520010948181
184,"COK","Cook Islands",NA
188,"CRI","Costa Rica",6.6085000038147
384,"CIV","Cote d'Ivoire",5.05270004272461
191,"HRV","Croatia",6.125
192,"CUB","Cuba",NA
531,"CUW","Curacao",NA
196,"CYP","Cyprus",6.13000011444092
203,"CZE","Czech Republic",6.8452000617981
180,"COD","Dem. Rep. Congo",3.207200050354
208,"DNK","Denmark",7.58640003204346
262,"DJI","Djibouti",NA
212,"DMA","Dominica",NA
214,"DOM","Dominican Republic",5.5689001083374
218,"ECU","Ecuador",5.55889987945557
818,"EGY","Egypt",4.17049980163574
222,"SLV","El Salvador",6.12160015106201
226,"GNQ","Equatorial Guinea",NA
232,"ERI","Eritrea",NA
233,"EST","Estonia",6.4552001953125
748,"SWZ","Eswatini",NA
231,"ETH","Ethiopia",4.09060001373291
234,"FRO","Faeroe Islands",NA
238,"FLK","Falkland Islands",NA
242,"FJI","Fiji",NA
246,"FIN","Finland",7.80420017242432
250,"FRA","France",6.66130018234253
258,"PYF","French Polynesia",NA
266,"GAB","Gabon",5.0346999168396
270,"GMB","Gambia",4.27939987182617
268,"GEO","Georgia",5.10909986495972
276,"DEU","Germany",6.89179992675781
288,"GHA","Ghana",4.60500001907349
300,"GRC","Greece",5.93090009689331
304,"GRL","Greenland",NA
308,"GRD","Grenada",NA
320,"GTM","Guatemala",6.15030002593994
831,"GGY","Guernsey",NA
324,"GIN","Guinea",5.07170009613037
624,"GNB","Guinea-Bissau",NA
328,"GUY","Guyana",NA
332,"HTI","Haiti",NA
336,"VAT","Holy See",NA
340,"HND","Honduras",6.02250003814697
344,"HKG","Hong Kong",5.30849981307983
348,"HUN","Hungary",6.04120016098022
352,"ISL","Iceland",7.52960014343262
356,"IND","India",4.03579998016357
360,"IDN","Indonesia",5.27689981460571
364,"IRN","Iran",4.87629985809326
368,"IRQ","Iraq",4.94089984893799
372,"IRL","Ireland",6.91079998016357
833,"IMN","Isle of Man",NA
376,"ISR","Israel",7.47289991378784
380,"ITA","Italy",6.4045000076294
388,"JAM","Jamaica",5.70270013809204
392,"JPN","Japan",6.12900018692017
832,"JEY","Jersey",NA
400,"JOR","Jordan",4.1198000907898
398,"KAZ","Kazakhstan",6.14389991760254
404,"KEN","Kenya",4.48659992218018
296,"KIR","Kiribati",NA
689,"XKX","Kosovo",6.36759996414185
414,"KWT","Kuwait",NA
417,"KGZ","Kyrgyzstan",5.8253002166748
418,"LAO","Laos",5.11070013046265
428,"LVA","Latvia",6.21269989013672
422,"LBN","Lebanon",2.39219999313354
426,"LSO","Lesotho",NA
430,"LBR","Liberia",4.0423002243042
434,"LBY","Libya",NA
438,"LIE","Liechtenstein",NA
440,"LTU","Lithuania",6.76300001144409
442,"LUX","Luxembourg",7.22790002822876
446,"MAC","Macao",NA
450,"MDG","Madagascar",4.01910018920898
454,"MWI","Malawi",3.49519991874695
458,"MYS","Malaysia",6.01230001449585
462,"MDV","Maldives",NA
466,"MLI","Mali",4.19780015945435
470,"MLT","Malta",6.29990005493164
584,"MHL","Marshall Islands",NA
478,"MRT","Mauritania",4.72389984130859
480,"MUS","Mauritius",5.90229988098145
484,"MEX","Mexico",6.32950019836426
583,"FSM","Micronesia",NA
498,"MDA","Moldova",5.81920003890991
492,"MCO","Monaco",NA
496,"MNG","Mongolia",5.84019994735718
499,"MNE","Montenegro",5.7221999168396
504,"MAR","Morocco",4.9028000831604
508,"MOZ","Mozambique",4.9539999961853
104,"MMR","Myanmar",4.37249994277954
516,"NAM","Namibia",4.63079977035522
520,"NRU","Nauru",NA
524,"NPL","Nepal",5.36030006408691
528,"NLD","Netherlands",7.40299987792969
540,"NCL","New Caledonia",NA
554,"NZL","New Zealand",7.12290000915527
558,"NIC","Nicaragua",6.25880002975464
562,"NER","Niger",4.50129985809326
566,"NGA","Nigeria",4.98059988021851
570,"NIU","Niue",NA
408,"PRK","North Korea",NA
807,"MKD","North Macedonia",5.25360012054443
578,"NOR","Norway",7.31549978256226
512,"OMN","Oman",NA
586,"PAK","Pakistan",4.55539989471436
585,"PLW","Palau",NA
591,"PAN","Panama",6.2645001411438
598,"PNG","Papua New Guinea",NA
600,"PRY","Paraguay",5.73780012130737
604,"PER","Peru",5.52589988708496
608,"PHL","Philippines",5.5229001045227
616,"POL","Poland",6.25969982147217
620,"PRT","Portugal",5.96799993515015
634,"QAT","Qatar",NA
178,"COG","Republic of Congo",5.26709985733032
642,"ROU","Romania",6.5890998840332
643,"RUS","Russia",5.66069984436035
646,"RWA","Rwanda",NA
652,"BLM","Saint Barthelemy",NA
659,"KNA","Saint Kitts and Nevis",NA
662,"LCA","Saint Lucia",NA
670,"VCT","Saint Vincent and the Grenadines",NA
882,"WSM","Samoa",NA
674,"SMR","San Marino",NA
678,"STP","Sao Tome and Principe",NA
682,"SAU","Saudi Arabia",6.46260023117065
686,"SEN","Senegal",4.85510015487671
