"code","iso","country","PF5.raw.2006","PF5.raw.2007","PF5.raw.2008","PF5.raw.2009","PF5.raw.2010","PF5.raw.2011","PF5.raw.2012","PF5.raw.2013","PF5.raw.2014","PF5.raw.2015","PF5.raw.2016","PF5.raw.2017","PF5.raw.2018","PF5.raw.2019","PF5.raw.2020","PF5.raw.2021","PF5.raw.2022"
4,"AFG","Afghanistan",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
8,"ALB","Albania",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
12,"DZA","Algeria",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
20,"AND","Andorra",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
24,"AGO","Angola",2665.84195464833,3578.01239103714,3525.18154945955,4122.75179747397,4545.79889728874,5117.36388760503,4624.28773751928,5937.15332421635,7067.11589006173,7822.01934055234,9379.97025130438,10496.9266530135,11348.2294729758,11150.7906422956,11134.4322478039,13592.5683210004,14474.4088830962
660,"AIA","Anguilla",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
28,"ATG","Antigua and Barbuda",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.88888429913302,3.88888429913302,3.88888429913302,3.88888429913302,3.88888429913302
32,"ARG","Argentina",21474.6287508712,23348.9111020043,29869.7459291577,28416.7264452386,28394.2149865998,27047.1604406803,28271.507277925,30196.0927833111,29890.3745850612,25736.5263973813,25311.8580606198,23787.7981390014,14351.4316419428,12286.521441574,14344.9262054497,13677.3884962516,14515.833058284
51,"ARM","Armenia",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
533,"ABW","Aruba",0.0751623908913845,0.0751623908913845,0.0751623908913845,0.187906642242024,0.187906642242024,0.300650893592664,0.300650893592664,0.300650893592664,-9999,-9999,-9999,-9999,0.300630886008572,0.300630886008572,0.300630886008572,0.300630886008572,0.300630886008572
36,"AUS","Australia",0.56942098353814,3.9673527926454,3.89145925242703,3.92789075423747,4.26807708675225,3.42964763819955,0.847956398469508,1.27131213541341,5.2242792187246,6.03829656874103,7.76623133582437,8.84769100602917,8.33751957581202,3.39642960761108,2.82348896697103,2.22603270388216,1.37840851490519
40,"AUT","Austria",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
31,"AZE","Azerbaijan",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
44,"BHS","Bahamas",4.98239723994357,6.64276912349587,7.42059979608007,7.87656118877799,8.38165138980208,5.43476202968554,5.25157734336349,5.05607661313237,4.0957639260473,3.50659409743641,294.794875404221,296.550691380465,298.744203737275,299.511867592265,299.938224496974,9.02046319014276,6.05690430015644
48,"BHR","Bahrain",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
50,"BGD","Bangladesh",443.441812698911,393.505842217253,388.251807288898,430.307999473078,416.121168176325,333.233032754162,324.599833031365,314.050097387585,294.126028826779,288.284911303869,304.781871718866,322.354386349634,356.51012698344,342.461198877724,393.240652528806,385.934459792614,364.554753309008
52,"BRB","Barbados",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
112,"BLR","Belarus",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
56,"BEL","Belgium",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
