"code","iso","country","CBP.raw.2022"
4,"AFG","Afghanistan",1.21070866795705
8,"ALB","Albania",2.11494044476465
12,"DZA","Algeria",5.36264446577431
20,"AND","Andorra",2.46688528592054
24,"AGO","Angola",2.03625076825392
660,"AIA","Anguilla",NA
28,"ATG","Antigua and Barbuda",5.1407609475512
32,"ARG","Argentina",5.23037990474124
51,"ARM","Armenia",3.77388868395062
533,"ABW","Aruba",3.07388761693597
36,"AUS","Australia",6.08124588435602
40,"AUT","Austria",4.46106326347328
31,"AZE","Azerbaijan",5.64522553269311
44,"BHS","Bahamas",4.48028347900179
48,"BHR","Bahrain",9.66202941246641
50,"BGD","Bangladesh",2.16495998177442
52,"BRB","Barbados",2.59451045668055
112,"BLR","Belarus",5.45656474654144
56,"BEL","Belgium",4.17562098670924
84,"BLZ","Belize",4.25755084205655
204,"BEN","Benin",2.60988178645863
60,"BMU","Bermuda",2.76879395128894
64,"BTN","Bhutan",4.16422790291706
68,"BOL","Bolivia",4.41201658133159
70,"BIH","Bosnia and Herzegovina",4.80809799085492
72,"BWA","Botswana",7.52244271979899
76,"BRA","Brazil",4.21244975875191
92,"VGB","British Virgin Islands",NA
96,"BRN","Brunei Darussalam",9.85767829277519
100,"BGR","Bulgaria",4.93450006118954
854,"BFA","Burkina Faso",2.66548441766539
108,"BDI","Burundi",1.02824746965059
132,"CPV","Cabo Verde",1.9267269429917
116,"KHM","Cambodia",4.53795384909726
120,"CMR","Cameroon",2.0632499612538
124,"CAN","Canada",5.93382563643503
136,"CYM","Cayman Islands",NA
140,"CAF","Central African Republic",3.24337104892808
148,"TCD","Chad",6.43102833078499
152,"CHL","Chile",5.06379641297062
156,"CHN","China",6.46687071357615
170,"COL","Colombia",4.07627901715863
174,"COM","Comoros",2.24864238905982
184,"COK","Cook Islands",NA
188,"CRI","Costa Rica",2.94454023321892
384,"CIV","Cote d'Ivoire",1.67795188266294
191,"HRV","Croatia",3.8735938735336
192,"CUB","Cuba",1.8868579011487
531,"CUW","Curacao",1.84866532709091
196,"CYP","Cyprus",4.99899815712126
203,"CZE","Czech Republic",4.64405128541417
180,"COD","Dem. Rep. Congo",1.14880248707783
208,"DNK","Denmark",2.46693369190131
262,"DJI","Djibouti",1.99854855436754
212,"DMA","Dominica",2.87712978776361
214,"DOM","Dominican Republic",3.96947182956106
218,"ECU","Ecuador",3.03742906589144
818,"EGY","Egypt",3.54359924849917
