"code","iso","country","PAE.raw.2022"
4,"AFG","Afghanistan",85.7142857142857
8,"ALB","Albania",75.7575757575758
12,"DZA","Algeria",44.4444444444444
20,"AND","Andorra",NA
24,"AGO","Angola",87.5
660,"AIA","Anguilla",NA
28,"ATG","Antigua and Barbuda",50
32,"ARG","Argentina",56.4853556485356
51,"ARM","Armenia",65
533,"ABW","Aruba",NA
36,"AUS","Australia",92.3712342079689
40,"AUT","Austria",83.743842364532
31,"AZE","Azerbaijan",68.75
44,"BHS","Bahamas",100
48,"BHR","Bahrain",NA
50,"BGD","Bangladesh",31.25
52,"BRB","Barbados",NA
112,"BLR","Belarus",46.9387755102041
56,"BEL","Belgium",32.3529411764706
84,"BLZ","Belize",92.6829268292683
204,"BEN","Benin",55.5555555555556
60,"BMU","Bermuda",NA
64,"BTN","Bhutan",100
68,"BOL","Bolivia",62.4
70,"BIH","Bosnia and Herzegovina",83.3333333333333
72,"BWA","Botswana",62.5
76,"BRA","Brazil",78.0539772727273
92,"VGB","British Virgin Islands",NA
96,"BRN","Brunei Darussalam",100
100,"BGR","Bulgaria",82.1428571428571
854,"BFA","Burkina Faso",42.2535211267606
108,"BDI","Burundi",57.1428571428571
132,"CPV","Cabo Verde",0
116,"KHM","Cambodia",33.3333333333333
120,"CMR","Cameroon",73.6842105263158
124,"CAN","Canada",92.8571428571429
136,"CYM","Cayman Islands",NA
140,"CAF","Central African Republic",91.304347826087
148,"TCD","Chad",33.3333333333333
152,"CHL","Chile",75.4545454545455
156,"CHN","China",33.3333333333333
170,"COL","Colombia",74.9174917491749
174,"COM","Comoros",100
184,"COK","Cook Islands",NA
188,"CRI","Costa Rica",72.7272727272727
384,"CIV","Cote d'Ivoire",77.8761061946903
191,"HRV","Croatia",74.3589743589744
192,"CUB","Cuba",98.6486486486486
531,"CUW","Curacao",NA
196,"CYP","Cyprus",47.8260869565217
203,"CZE","Czech Republic",76.0869565217391
180,"COD","Dem. Rep. Congo",82.5
208,"DNK","Denmark",47.6190476190476
262,"DJI","Djibouti",100
212,"DMA","Dominica",66.6666666666667
214,"DOM","Dominican Republic",54.4303797468354
218,"ECU","Ecuador",81.3953488372093
818,"EGY","Egypt",88
222,"SLV","El Salvador",84.6153846153846
226,"GNQ","Equatorial Guinea",90
232,"ERI","Eritrea",16.6666666666667
233,"EST","Estonia",91.7695473251029
748,"SWZ","Eswatini",85.7142857142857
231,"ETH","Ethiopia",51.4925373134328
234,"FRO","Faeroe Islands",NA
238,"FLK","Falkland Islands",100
242,"FJI","Fiji",71.4285714285714
246,"FIN","Finland",100
250,"FRA","France",61.8279569892473
258,"PYF","French Polynesia",NA
266,"GAB","Gabon",63.1578947368421
270,"GMB","Gambia",66.6666666666667
268,"GEO","Georgia",92.3076923076923
276,"DEU","Germany",41.3455258001306
288,"GHA","Ghana",78.6666666666667
300,"GRC","Greece",82.9977628635347
304,"GRL","Greenland",NA
308,"GRD","Grenada",50
320,"GTM","Guatemala",62.3376623376623
831,"GGY","Guernsey",NA
324,"GIN","Guinea",53.5714285714286
