"code","iso","country","IFA.raw.2000"
4,"AFG","Afghanistan",NA
8,"ALB","Albania",NA
12,"DZA","Algeria",NA
20,"AND","Andorra",NA
24,"AGO","Angola",285836.634458954
660,"AIA","Anguilla",NA
28,"ATG","Antigua and Barbuda",NA
32,"ARG","Argentina",2088520.24311138
51,"ARM","Armenia",NA
533,"ABW","Aruba",NA
36,"AUS","Australia",3145326.1237714
40,"AUT","Austria",NA
31,"AZE","Azerbaijan",NA
44,"BHS","Bahamas",NA
48,"BHR","Bahrain",NA
50,"BGD","Bangladesh",NA
52,"BRB","Barbados",NA
112,"BLR","Belarus",NA
56,"BEL","Belgium",NA
84,"BLZ","Belize",427457.599883144
204,"BEN","Benin",NA
60,"BMU","Bermuda",NA
64,"BTN","Bhutan",481473.603152114
68,"BOL","Bolivia",23006053.0741104
70,"BIH","Bosnia and Herzegovina",NA
72,"BWA","Botswana",NA
76,"BRA","Brazil",244893049.760665
92,"VGB","British Virgin Islands",NA
96,"BRN","Brunei Darussalam",199101.009305465
100,"BGR","Bulgaria",NA
854,"BFA","Burkina Faso",NA
108,"BDI","Burundi",NA
132,"CPV","Cabo Verde",NA
116,"KHM","Cambodia",114197.160623764
120,"CMR","Cameroon",5277549.70936621
124,"CAN","Canada",186090950.18439
136,"CYM","Cayman Islands",NA
140,"CAF","Central African Republic",868101.09074758
148,"TCD","Chad",NA
152,"CHL","Chile",5580270.40739871
156,"CHN","China",1687022.84679482
170,"COL","Colombia",34756904.4243763
174,"COM","Comoros",NA
184,"COK","Cook Islands",NA
188,"CRI","Costa Rica",315917.392424106
384,"CIV","Cote d'Ivoire",455951.527714903
191,"HRV","Croatia",NA
192,"CUB","Cuba",3982.65699058797
531,"CUW","Curacao",NA
196,"CYP","Cyprus",NA
203,"CZE","Czech Republic",NA
180,"COD","Dem. Rep. Congo",64343402.0369153
208,"DNK","Denmark",NA
262,"DJI","Djibouti",NA
212,"DMA","Dominica",NA
214,"DOM","Dominican Republic",79081.481602827
218,"ECU","Ecuador",5262555.91092712
818,"EGY","Egypt",NA
222,"SLV","El Salvador",NA
226,"GNQ","Equatorial Guinea",422147.120380813
232,"ERI","Eritrea",NA
233,"EST","Estonia",NA
748,"SWZ","Eswatini",NA
231,"ETH","Ethiopia",367201.431897705
234,"FRO","Faeroe Islands",NA
238,"FLK","Falkland Islands",NA
242,"FJI","Fiji",NA
246,"FIN","Finland",421562.890413285
250,"FRA","France",NA
258,"PYF","French Polynesia",NA
266,"GAB","Gabon",10875632.0641981
